availability_365,City,host_id,host_name,id,last_review,latitude,longitude,minimum_nights,name,neighbourhood_cleansed,number_of_reviews,price,room_type
87,Chicago,8619275,Leszek,1620098,2024-10-27,41.92817,-87.64282,1,Bedroom + apartment in Lincoln Park,Lincoln Park,82,140.00,Entire home/apt
2,Chicago,8813383,Mindy + Tony,1663673,2025-02-24,41.89322,-87.68572,2,iKlektik House Chicago / Cardinal,West Town,434,97.00,Entire home/apt
225,Chicago,9249272,Mark,1759266,2025-03-02,41.93396,-87.65897,2,Lakeview / Lincoln Park Vintage,Lake View,90,121.00,Entire home/apt
0,Chicago,9297431,Inn At Wrigleyville,1769731,2024-12-08,41.94747,-87.65417,1,1 Bedroom Across from Wrigley Field MVP Suite,Lake View,31,222.00,Entire home/apt
165,Chicago,9297431,Inn At Wrigleyville,1772920,2025-01-19,41.94842,-87.65307,1,3 Bedroom Across from Wrigley Field AllStar Suite,Lake View,21,450.00,Entire home/apt
62,Chicago,21922655,Angelica,4872152,2024-10-21,41.90637,-87.68954,1,"Simple room, close to trains!",West Town,270,75.00,Private room
39,Chicago,22052322,John,4912516,2024-12-26,41.94816,-87.68607,5,"Happy, Upscale 4 Bed Home (Roscoe Village)",North Center,141,150.00,Entire home/apt
365,Chicago,23197213,Doral,4923963,2022-08-27,41.80944,-87.61664,32,Charming Brownstone Garden Level,Grand Boulevard,29,,Entire home/apt
1,Chicago,23197213,Doral,4930338,2018-07-17,41.81214,-87.61328,32,Beautiful Brownstone Apt.,Grand Boulevard,24,135.00,Entire home/apt
346,Chicago,24705990,Rick,5014976,2022-03-28,41.97,-87.66865,3,Chic 3BD/2BA Suite w/ Full Kitchen & Washer/Dryer,Uptown,38,386.00,Entire home/apt
139,Chicago,10209853,Tatiana & Roupen,5074013,2025-03-09,41.89295,-87.62217,2,Unwind in Style Steps from the Magnificent Mile,Near North Side,391,265.00,Entire home/apt
134,Chicago,10613587,Saurin,5102125,2025-01-05,41.89492,-87.65926,1,Private BR in Condo close to Chicago Dwtwn!,West Town,292,73.00,Private room
179,Chicago,1407749,Vladimir,5117490,2024-09-26,41.89998,-87.69244,7,The Entire Floor of a Comfortable & Modern Duplex,West Town,195,122.00,Private room
151,Chicago,9297431,Inn At Wrigleyville,1773021,2025-01-01,41.94774,-87.65421,1,4 Bedroom Across from Wrigley Field Stadium Suite,Lake View,52,593.00,Entire home/apt
165,Chicago,9297431,Inn At Wrigleyville,1773025,2024-12-29,41.9475,-87.6542,1,4 Bedroom Across from Wrigley Field Legend Suite,Lake View,37,636.00,Entire home/apt
102,Chicago,9483312,Ryan,1810118,2024-10-14,41.77738,-87.60041,4,LARGE 1BR/Private Full Bath near U of Chicago,Woodlawn,373,70.00,Private room
0,Chicago,9601147,Chester,1837153,2024-10-03,41.79989,-87.59432,32,Musician's Quarters,Hyde Park,60,,Entire home/apt
365,Chicago,9471604,James,1854000,2022-08-09,41.93264,-87.64311,32,Elegant Lakefront Near Wrigley Field Lake Michigan,Lincoln Park,155,435.00,Entire home/apt
328,Chicago,1971382,Esmirna,1869568,2024-11-19,41.85638259958464,-87.71415361216066,1,"Homey, cozy and comfortable!",North Lawndale,3,59.00,Private room
72,Chicago,26874445,Sebastien,5195252,2022-12-05,41.90451,-87.67943,32,Room with large private balcony,West Town,177,48.00,Private room
226,Chicago,26874445,Sebastien,5205377,2024-12-30,41.90434,-87.67967,32,Private room+bath in Wicker Park,West Town,287,67.00,Private room
278,Chicago,8813383,Mindy + Tony,5210927,2025-01-02,41.89329,-87.68574,2,iKlektik House Chicago / Robin,West Town,514,109.00,Entire home/apt
312,Chicago,27074701,Charissa,5231461,2024-11-17,41.90168,-87.693,3,Modern/Spacious 2BR/2BA West Town,West Town,257,180.00,Entire home/apt
84,Chicago,22215535,Matt,5283285,2024-10-18,41.85707,-87.67082,32,The Flower Power Room,Lower West Side,156,28.00,Private room
1,Chicago,9499059,Bennett,5297152,2024-12-16,41.79755783081055,-87.59791564941406,20,Fresh and Sunny Bed & Bath by UofC,Hyde Park,238,88.00,Private room
89,Chicago,24676863,William,5321981,2023-12-05,41.9086,-87.67684,32,Inspiring Studio in Art Gallery,West Town,55,106.00,Private room
319,Chicago,9959757,Jedidiah,1921670,2025-02-16,41.94663,-87.70783,2,The Avondale Garden Unit,Irving Park,352,127.00,Entire home/apt
90,Chicago,4995578,George,1931880,2022-09-05,41.93564,-87.6424,32,Charming Mid-Century Designed Apt in E Lakeview,Lake View,1,183.00,Entire home/apt
58,Chicago,8292749,Ilya,1939467,2024-08-31,41.95998186072804,-87.73006782293396,32,"Rm 1, Quiet&Cozy in Old Irving - NonSmokers, only",Irving Park,5,58.00,Private room
365,Chicago,4010906,Bobbie,1984545,2017-06-06,41.81961,-87.61324,32,Soulful Living 3B-3B Home Hyde Park/Bronzeville,Grand Boulevard,4,251.00,Entire home/apt
0,Chicago,5166793,Bradley,2011301,2025-02-01,41.92118,-87.68678,2,Bucktown - Great Northside Location,Logan Square,302,75.00,Private room
65,Chicago,4698713,Mark,5359984,2025-02-17,41.89558,-87.66585,3,"Condo with private terrace, free WIFI and parking",West Town,127,197.00,Entire home/apt
321,Chicago,28022926,Bryan,5406217,2025-01-01,41.92621,-87.70888,2,Urban Luxury 1BR/2BA Logan Square Condo w/Garage,Logan Square,264,185.00,Entire home/apt
270,Chicago,28501460,Delia,5496659,2025-02-15,41.76477,-87.57182,1,Beige room area South Shore Airbnb,South Shore,106,20.00,Private room
131,Chicago,28715964,David,5537682,2025-01-01,41.92032,-87.66128,2,The Rectory,Lincoln Park,281,184.00,Entire home/apt
